Abbeydale Christian Fellowship, 403-273-6222, mail@abbeydale.org, http://abbeydale.org/index.php/connect/community-cupboard, 1352 Abbeydale Drive SE ,
                    Calgary AB T2A 7L8 ,,,,,
Adult Recreational Choir Society of Calgary, 403-282-4378, executivedirector@archoirs.org, , 28 Crowfoot Terrace PO Box 68242 ,
                    Calgary AB T3G 3N8 ,,,,,
Adult Literacy Tutoring Service (ALTS), 403-440-7246, osemmens@mtroyal.ca, , 4825 Mount Royal Gate SW ,
                    Calgary AB T3B 4A7 ,,,,,
Alberta Association of Immigrant Serving Agencies, 403-273-2962, communications@aaisa.ca, https://aaisa.ca/, #200 903 - 8 Avenue SW ,
                    Calgary AB T2P 0P7 ,,,,,
Airdrie Food Bank, 403-948-0063, volunteers@airdriefoodbank.com, www.airdriefoodbank.com, 20 East Lake Way ,
                    Airdrie AB T4A 2J3 ,,,,,
Alberta Addicts Who Educate and Advocate Responsibly, 403-614-7623, executivedirector@aawear.org, www.aawear.org, 1213 4 St SW ,
                    CALGARY AB T2R 0X7 ,,,,,
Alberta Animal Rescue Crew Society, 403-250-7377, rachel@aarcs.ca, www.aarcs.ca, 5060 74th Ave SE ,
                    Calgary AB T2C 3C9 ,,,,,
Alberta Cancer Foundation, 403-998-2895, Paula.Bildfell@albertacancer.ca, https://www.albertacancer.ca/, 1620 29th Street NW Unit 300,
                    Calgary AB T2N 4L7 ,,,,,
ActionDignity, 403-263-9900, info@actiondignity.org, www.actiondignity.org, 915 33 Street Northeast ,
                    Calgary AB T2A 6T2 ,,,,,
Adoption By Choice, 403-245-8854, jerri-lynn.deveau@adoptionbychoice.ca, www.adoptionbychoice.ca, #250, 3115 12 Street NE 
                    Calgary AB T2E 7J2 ,,,,,
Afrikadey! Arts & Culture Society, 403-234-9110, motolad.afrikadey@gmail.com, afrikadey.org, 698 Eau Claire Ave SW Prince Island Park,
                    Calgary AB T2E 3R4 ,,,,,
Acadia Community Garden and Art Society, 403-800-8365, info@growingacadia.ca, , 332 – 94th Avenue SE ,
                    Calgary AB T2J 0E8 ,,,,,
Age-Friendly Calgary, 403-476-7244, agefriendlycalgary@calgary.ca, www.calgary.ca/agefriendly, Mailcode # 104 P.O. Box 2100, Stn. M 
                    Calgary AB T2P 2M5 ,,,,,
Airdrie & District Hospice Society, 403-880-0424, hospiceairdrie@gmail.com, www.airdriehospice.ca, Box 70014 Creekside RPO ,
                    Airdrie AB T4B 0V9 ,,,,,
AgeCare, 403-351-8974, volunteers@agecare.ca, https://www.agecare.ca/careers/volunteer/, 19655 Walden Blvd SE, 
                    Calgary AB T2X 0N7 ,,,,,
Alberta Children's Hospital Foundation, 403-955-8838, jlyall@achf.com, cildrenshospital.ab.ca , Many locations  ,
                    Calgary AB T3B 6A8 ,,,,,
Airdrie 2020, 587-254-8020, volunteers@airdrie2020.com, www.albertawintergames.ca, 805 Main Street S ,
                    Airdrie AB T4B 0R6 ,,,,,
Airdrie and District Victim Assistance, 403-945-7290, colleen.maurice@rcmp-grc.gc.ca, http://www.airdrievictimassistance.com/, 2 Highland Park Way NE ,
                    Airdrie AB T4A 0R1 ,,,,,
Accessible Housing, 403-282-1872, info@accessiblehousing.ca, http://accessiblehousing.ca/, Deerfoot Junction III Suite #215, 1212 - 31st Ave NE
                    Calgary AB T2E 7S8 ,,,,,
12 Community Safety Initiative, 587-223-3749, larry@12csi.ca, 12csi.ca,250, 3515 - 17 Avenue SE 
                    Calgary, AB T2A 0R5 ,,,,
Acadia Community Association, 403-697-4822, memberhsip@acadiaca.com, www.acadiaca.com, 240-90th Ave SE 240-90th Ave SE,
                    Calgary AB T2J 6P6 ,,,,,
Southern Alberta Brain Injury Society, 403-521-5212, annalise@sabis.ab.ca, www.sabis.ab.ca,140, 301  14th Street NW 
                    Calgary AB T2N 2A1 ,,,,,
Accessibility Renovations for Kids (ARK) Society, 587-997-5024, bridgit.kong@arksociety.ca, https://www.arksociety.ca, Varies ,
                    Calgary AB T2C 4P5 ,,,,,
Affinity Mentorship Foundation (AMF), 403-200-9766, info@affinitymentorship.com, affinitymentorship.com, PO Box 14058 Richmond Road PO,
                    Calgary AB T3E 7Y7 ,,,,,
