Afrikadey! Arts & Culture Society, 403-234-9110, motolad.afrikadey@gmail.com, afrikadey.org, 698EauClaireAveSWPrinceIslandParkCalgaryABT2E3R4 
Adult Recreational Choir Society of Calgary, 403-282-4378, executivedirector@archoirs.org, , 28CrowfootTerracePOBox68242CalgaryABT3G3N8 
Adult Literacy Tutoring Service (ALTS), 403-440-7246, osemmens@mtroyal.ca, , 4825MountRoyalGateSWCalgaryABT3B4A7 
12 Community Safety Initiative, 587-223-3749, larry@12csi.ca, 12csi.ca, 250,3515-17AvenueSECalgary,ABT2A0R5 
Southern Alberta Brain Injury Society, 403-521-5212, annalise@sabis.ab.ca, www.sabis.ab.ca, 140,30114thStreetNWCalgaryABT2N2A1 
Alberta Children's Hospital Foundation, 403-955-8838, jlyall@achf.com, cildrenshospital.ab.ca , ManylocationsCalgaryABT3B6A8 
Alberta Association of Immigrant Serving Agencies, 403-273-2962, communications@aaisa.ca, https://aaisa.ca/, #200903-8AvenueSWCalgaryABT2P0P7 
Acadia Community Association, 403-697-4822, memberhsip@acadiaca.com, www.acadiaca.com, 240-90thAveSE240-90thAveSECalgaryABT2J6P6 
Alberta Addicts Who Educate and Advocate Responsibly, 403-614-7623, executivedirector@aawear.org, www.aawear.org, 12134StSWCALGARYABT2R0X7 
Acadia Community Garden and Art Society, 403-800-8365, info@growingacadia.ca, , 332–94thAvenueSECalgaryABT2J0E8 
Affinity Mentorship Foundation (AMF), 403-200-9766, info@affinitymentorship.com, affinitymentorship.com, POBox14058RichmondRoadPOCalgaryABT3E7Y7 
ActionDignity, 403-263-9900, info@actiondignity.org, www.actiondignity.org, 91533StreetNortheastCalgaryABT2A6T2 
Adoption By Choice, 403-245-8854, jerri-lynn.deveau@adoptionbychoice.ca, www.adoptionbychoice.ca, #250,311512StreetNECalgaryABT2E7J2 
Age-Friendly Calgary, 403-476-7244, agefriendlycalgary@calgary.ca, www.calgary.ca/agefriendly, Mailcode#104P.O.Box2100,Stn.MCalgaryABT2P2M5 
Accessible Housing, 403-282-1872, info@accessiblehousing.ca, http://accessiblehousing.ca/, DeerfootJunctionIIISuite#215,1212-31stAveNECalgaryABT2E7S8 
Airdrie & District Hospice Society, 403-880-0424, hospiceairdrie@gmail.com, www.airdriehospice.ca, Box70014CreeksideRPOAirdrieABT4B0V9 
Abbeydale Christian Fellowship, 403-273-6222, mail@abbeydale.org, http://abbeydale.org/index.php/connect/community-cupboard, 1352AbbeydaleDriveSECalgaryABT2A7L8 
Alberta Cancer Foundation, 403-998-2895, Paula.Bildfell@albertacancer.ca, https://www.albertacancer.ca/, 162029thStreetNWUnit300CalgaryABT2N4L7 
Alberta Animal Rescue Crew Society, 403-250-7377, rachel@aarcs.ca, www.aarcs.ca, 506074thAveSECalgaryABT2C3C9 
AgeCare, 403-351-8974, volunteers@agecare.ca, https://www.agecare.ca/careers/volunteer/, 19655WaldenBlvdSE,CalgaryABT2X0N7 
Accessibility Renovations for Kids (ARK) Society, 587-997-5024, bridgit.kong@arksociety.ca, https://www.arksociety.ca, VariesCalgaryABT2C4P5 
Airdrie Food Bank, 403-948-0063, volunteers@airdriefoodbank.com, www.airdriefoodbank.com, 20EastLakeWayAirdrieABT4A2J3 
Airdrie and District Victim Assistance, 403-945-7290, colleen.maurice@rcmp-grc.gc.ca, http://www.airdrievictimassistance.com/, 2HighlandParkWayNEAirdrieABT4A0R1 
Airdrie 2020, 587-254-8020, volunteers@airdrie2020.com, www.albertawintergames.ca, 805MainStreetSAirdrieABT4B0R6 
