Dancers' Studio West, 403-244-0950, businessmanager@dswlive.ca, www.dswlive.ca, cSPACEKingEdward172129CalgaryABT2T1P5 
CUPS Health Education Housing, 403-970-9776, jessicak@cupscalgary.com, www.cupscalgary.com, 1001-10AveSwCalgaryABT2R0B7 
Contemporary Calgary, 403-770-1350, info@contemporarycalgary.com, https://www.contemporarycalgary.com, 900,10512AvenueSWCalgaryABT2G1A1 
Draft Horse Town , 403-616-3678, kmmorrison@shaw.ca, drafthorsetown.com, CalgaryStampedeCalgaryABT3H4T2 
Cornerstone Youth Centre, 403-452-9620, darlene@cyccalgary.com, https://www.cornerstoneyouthcentre.com/, 90419StreetNECalgaryABT2E4X7 
Cowtown Opera Company Society, 403-479-5989, bethany@cowtownopera.com, www.cowtownoperacompany.com, Misc.venuelocationsTypicallycentralCalgaryABT2G2E6 
Covenant Care, 587-230-5500, theresa.bellows@covenantcare.ca, http://www.covenantcare.ca/, 70/110EvansparkManorNWCalgaryABT3P0N4 
Downstage Performance Society, 403-294-7459, clare@downstage.ca, www.downstage.ca, 2058AvenueSECalgaryABT2G0K9 
Crossing the Divide Experience Ltd, 403-554-3474, ken_schmaltz@yahoo.com, https://www.crossingthedivideexperience.org/, CashCasinoCalgaryABT2G4E6 
Deaf and Hear Alberta, 403-284-6200, info@deafandhearalberta.ca, , 63CornellRoadNWCalgaryABT2L0L4 
Duke of Edinburgh's International Award - AB, NT & NU, 403-237-7476, cbender@theaward.ca, https://www.dukeofed.org/, 111,4515BowTrailSWCalgaryABT3C2G3 
Conseil de développement économique de l'Alberta, 403-802-0880, maud@francopreneurs.ca, https://lecdea.ca/, 940,10512AveSE,Calgary,ABT2G1A1CALGARYABT2G1A1 
Confederation Park 55+ Activity Centre, 403-289-4780, cv@yycseniors.com, yycseniors.com, 221213thSt.NWCalgaryABT2M4P7 
Diabetes Canada, 403-266-0620, volunteeralberta@diabetes.ca, diabetes.ca, 22062232ndStreetCalgaryABT2H1J5 
Downtown West Community Association, 403-680-3145, president@dwca.ca, dwca.ca, VertualCalgaryABT2P5N3 
Create Kids Arts Society, 403-404-1335, volunteer@createkids.ca, createkids.ca, 20232aveNWCalgaryABT2N0G6 
Decidedly Jazz Danceworks, 403-228-8183, scarson@decidedlyjazz.com, https://www.decidedlyjazz.com, 11112AveSECalgaryABT2G0Z9 
DDRC - Developmental Disabilities Resource Centre of Calgary, 403-240-3111, volunteer@ddrc.ca, www.ddrc.ca, 4631RichardsonWaySWCalgaryABT3E7B7 
Disabled Sailing Association of Alberta, 403-238-0689, dsaalberta@gmail.com, www.dsaalberta.org, 841524thStreetS.W.SouthGlenmoreparkCalgary,ABABT2W1B4 
Distress Centre, 403-266-1634, volunteer@distresscentre.com, www.distresscentre.com, 10108thaveS.w.CalgaryABT2P1J2 
Duhaa Foundation, 587-917-6392, duhaafoundation@gmail.com, https://sites.google.com/view/duhaafoundation/home?fbclid=IwAR1xDneu6KsjlAPNfWAU2AUkYS5g3QKsNW6wX_ZWa-uXNtp3222Mx0011zo, N/ACalgaryABT3A6B4 
Cystic Fibrosis Canada - Calgary and Southern Alberta Chapter, 403-266-5295, kjakeman@cysticfibrosis.ca, http://cfcalgary.ca/ShiftRegistration.aspx, 1130F44AveSECalgaryABT2G4W6 
Dubasov Dance and Wellness, 403-452-7600, dubasov.pdc@gmail.com, dubdw.com, 632512St.SECalgaryABT2H2K1 
Dress For Success, 403-225-8555, dfscrecruiting@gmail.com, https://calgary.dressforsuccess.org/, 100814StSECalgaryABT2G3K3 
