Forensic Adolescent Program, 403-297-7756, marylee.block@ahs.ca, , CommunityCalgaryABT1Y5S3 
Floating Lantern Ceremony, 403-869-6276, eamery@hotmail.com, http://ploughsharescalgary.ca/2019-summer-event/, 29198thAvenueNWCalgaryABT2N1C8 
F.O.C.U.S on Seniors, 403-816-8145, info@focusonseniors.ca, www.focusonseniors.ca, 138CoralshoresCapeN.E.CalgaryABT3J3T8 
Fort Calgary Preservation Society, 403-290-1875, engage@fortcalgary.com, www.fortcalgary.com, 7509AveSECalgaryABT2G5E1 
Foothills Wanderers Orienteering Club, 403-284-3598, secretary@orienteeringcalgary.ca, orienteeringcalgary.ca/, ThereisnophysicaladdressCalgaryABT2M3X9 
First Lutheran Church, 403-242-4544, Kevin@MakingFaithMatter.ca, www.makingfaithmatter.ca, 7102–14AveSWCalgaryABT3H4G7 
Foundation of St. Teresa of Calcutta, 403-921-5916, brittneyrusso3@gmail.com, https://m.signupgenius.com/#!/showSignUp/805084eabaa28a0fa7-stteresa, 121MidlakeBlvdseCalgaryABT2X0A7 
Foothills Bluegrass Music Society, 403-852-3952, sueholt93@gmail.com, https://foothillsbluegrass.com/, CalgaryIrishCulturalCentre645235AveNWCalgaryABT3B1S4 
Ghost River Theatre Society, 403-242-7118, gm@ghostrivertheatre.com, ghostrivertheatre.com, 200710AveSWCalgaryABT3C0K4 
Foothills Creative Beginnings, 403-999-1209, marla.ferg@foothillscreative.org, creativebeginnings.ca, 1530NorthmountDrNWCalgaryABT2L0G6 
Folk Festival Society of Calgary, 403-233-0904, emily@calgaryfolkfest.com, https://www.calgaryfolkfest.com/get-involved/volunteer, Prince'sIslandPark698EauClaireAveSWCalgaryABT2P5N4 
Freedom Tree, 403-667-0831, tara@freedomtree.ca, http://freedomtree.ca, Suite208,10119thAveSECalgaryABT2G0H7 
Four Feet Companion Foundation, 403-370-5753, volunteer@fourfeet.org, www.fourfeet.org, 17aveswCalgaryABT2T0X7 
FUNNYFEST Calgary Comedy Festival Society, 403-228-7888, volunteers@funnyfest.com, https://FunnyFest.com, 11differentvenuesinCalgaryCalgaryABT2P1B7 
Forte Musical Theatre Guild, 587-393-6121, info@fortemusical.ca, https://www.fortemusical.ca/, cSPACEKingEdward172129thAveSWSuite480CalgaryABT2T6T7 
FIRST Robotics Society, 403-560-2596, volunteers@frcwest.com, www.frcwest.com, GenesisCentre7555FalconridgeBlvdNE#10CalgaryABT3J0C9 
Foothills Community Immigrant Services, 403-938-4699, mnadeau@ccisab.ca, https://www.ccisab.ca/services/rural-alberta-services/okotoks.html, Office4-Bay2,87ElizabethStreetOkotoksABT1S1B3 
Four: Thirteen Therapeutic Riding Association, 403-805-4633, volunteer.fourthirteentherapy@gmail.com, https://www.413therapeuticriding.com/, HighCountryEquestrianCenter240020RangeRoad42CalgaryABT3Z2X3 
Food for Peace Society of Calgary, 403-717-8278, foodforpeace-calgary@hotmail.com, , https://www.meetup.com/Food-For-Calgary/CalgaryABT2A7Y8 
Foothills Community Wellness Association, 587-224-3482, foothillsommunitywellness@gmail.com, www.foothillscommunitywellness.ca, 4448FrontStreetSECalgaryABT3M1M4 
Fresh Routes Inc., 403-619-6373, lourdesjuan@me.com, https://freshroutes.ca, #300,15505StreetSWCalgaryABT2R1K3 
Foundation for Advancement of Education in Myanmar, 403-474-9455, fae.myanmar@gmail.com, , 92TaraglenRoadCalgaryABT3J2M3 
Free Your Mind Mental Health Society, 403-617-2587, fym.initiative@gmail.com, https://freeyourmindinitiative.com/, 1408MardaleDrNECalgaryABT2A3M4 
Friends of Fish Creek Provincial Park Society, 403-238-3841, info@friendsoffishcreek.org, https://friendsoffishcreek.org/, 15975BowBottomTrailSECalgaryABT2P2M7 
