Netball Alberta, 403-966-8041, contact@netballalberta.com, netballalberta.com, 2000SouthlandDrSWCalgaryABT2V4S4 
Mount Royal University - Transitional Vocational Program, 403-440-7246, osemm167@mtroyal.ca, , 4825MountRoyalGateSWRoomM-200CalgaryABT3E6K6 
Oladele Foundation, 403-880-6692, secondchance@oladele.ca, www.oladele.ca; www.thesecondchance.ca, 235,354532AveNE10307EamonRoodNWCalgaryABT1Y6M6 
One Voice Chorus, 403-630-3822, generalmanager@onevoicechorus.ca, www.onevoicechorus.ca, 112114AvenueSWCalgaryABT2R0P3 
National Music Centre, 403-476-1659, volunteers@nmc.ca, https://studiobell.ca, StudioBell850-4thStreetSECalgaryABT2G1P2 
New Brighton RA, 403-781-6613, recreation@nbra.ca, www.newbrighton-connect.com , 2NewBrightonDriveS.ECalgaryABT2Z4B2 
Nature Conservancy of Canada, 403-444-3548, alberta@conservationvolunteers.ca, http://www.natureconservancy.ca/en/what-you-can-do/conservation-volunteers/, 890105-12AveSECalgaryABT2G1A1 
MoMo Performance + disability, 403-452-1220, talia@momodancetheatre.org, momomovement.ca, 8038FairmountDriveSECalgaryABT2H0Y1 
Nest Foundation, 403-606-8869, events@canadianbusinesschicks.com, https://thenestfoundation.org/, Calgary,AlbertaCalgaryABT3B3Z2 
New Gallery, 403-233-2399, claire@thenewgallery.org, http://www.thenewgallery.org/, 208CentreStSECalgaryABT2G2B6 
Mood Disorders Society of Canada, 587-356-1816, SCcalgary@mdsc.ca, http://transitionstocommunities.ca/#, Suite14306055thAvenueSWCalgaryABT2P3H5 
MyCityCare Okotoks, 403-606-6812, okotoks@myvictory.ca, https://myvictory.ca/mycitycare/, OkotoksOkotoksABT1S1E5 
NECCS - Genesis Centre, 403-590-2833, mzahed@genesis-centre.ca, https://www.genesis-centre.ca/index.php, 7555FalconridgeBlvd.NECalgaryABT3J0C9 
NorthernStar Mothers Milk Bank (formerly Calgary Mothers' Milk Bank Association), 403-475-6455, contact@northernstarmilkbank.ca, www.northernstarmilkbank.ca, 6712FisherSt.S.E#160CalgaryABT2H2A7 
Okotoks Meals on Wheels, 403-498-7291, lwojcik001@gmail.com, , OkotoksMealsonWheelsSociety101CentreCourt,SandstoneLodgeOkotoksABT1S1V6 
Mustard Seed, 403-999-0193, volunteer@theseed.ca, , 102-11Ave.SE702544StSECalgaryABT2G0X5 
Oneball Charitable Cancer Organization, 403-690-9082, volunteer@oneball.ca, www.oneball.ca, #505,53510AvenueSWCalgaryABT2R0A8 
North East Family Connections, 403-293-0424, sholt@nefcs.ca, nefcs.ca, 95FalshireDriveNorthEast#704263138StreetN.E.and#14147RundlemereRdN.E.CalgaryABT3J1P7 
na, 403-618-8393, nagpal.caiffy@gmail.com, , 116SaddlecrestBlvdNECalgaryABT3J5G6 
Myositis Canada, 403-969-9115, president@myositis.ca, www.myositis.ca, 7724BownessRoadNWCalgaryABT3B0H1 
Never Alone Peer Support, 403-403-4034, neveralone.naps@gmail.com, naps.support, 419NorthmountDrNWCalgaryABT2K3H7 
Okotoks Public Library, 403-938-2220, kfraser@okotokslibrary.ca, okotokslibrary.ca, 7RiversideDriveW.OkotoksABT1S1A6 
Okotoks Arts Council, 403-995-2477, okotoksartscouncil.com@gmail.com, Okotoks Arts Council, Box149,OKOTOKSABT1S2A2 
Norfolk Housing Association, 403-270-3062, admin@norfolkhousing.ca, www.norfolkhousing.ca, 1118KensingtonRdNWCalgaryABT2N3P1 
