Alberta Medieval Settlement, 403-689-9426, silverhorsejen@hotmail.com, , Box49152OgdenCalgaryABT2C3W5 
Alberta Health Services - Rockyview General Hospital, 403-943-3861, rghvolunteer.resources@albertahealthservices.ca, , 700714StreetSWCalgaryABT2V1P9 
Alberta Hands & Voices, 403-613-2606, info@albertahandsandvoices.com, http://albertahandsandvoices.com/, 7620ElbowDriveSwSuite327CalgaryABT2V1K2 
Alberta Playwrights' Network Society, 403-269-8564, trevor@albertaplaywrights.com, www.albertaplaywrights.com, 331-41stAvenueNECalgaryABT2E2N4 
Alzheimer Society of Calgary, 403-290-0110, volunteer@alzheimercalgary.ca, www.alzheimercalgary.ca, 8007015MacLeodTrailSWCalgaryABT2H2K6 
Alberta Hospice Palliative Care Association, 403-206-9938, communications@ahpca.ca, www.ahpca.ca, #110,10512AveSECalgaryABT2G1A1 
Alberta Health Services- Okotoks, 403-933-6564, robin.carnegie@ahs.ca, , 717GovernmentRoadBlackDiamondABT0L0H0 
Alberta Community Ambassadors, 587-700-8665, communityambassadors@shaw.ca, www.communityambassadors.ca, 420QuarryVillasSECalgaryABT2C5K1 
Alberta Guide Dogs - a division of British Columbia Guide Dog Services, 403-258-0819, info@albertaguidedog.com, http://bcandalbertaguidedogs.com, #11,6115-4thStSECalgaryABT2H2H9 
Alberta Lymphedema Association, 403-281-9205, lymphnet@telus.net, www.albertalymphedema.com, 2406-10MarketBlvdSEAirdrieABT4A0W8 
Alberta Science Network, The, 403-771-4510, volunteers@albertasciencenetwork.ca, http://www.albertasciencenetwork.ca/index.html, 70HighStreetSEPOBox89088CalgaryABT2Z3W3 
Alberta Ecotrust Foundation, 403-209-2245, info@albertaecotrust.com, www.albertaecotrust.com, #25030510aveSECalgaryABT2G0W2 
Alberta Society of Artists, 403-265-0012, volunteer@AlbertaSocietyOfArtists.com, www.albertasocietyofartists.com, #302-123526thAvenueSECrossroadsArtCentreCalgaryABT2G1R7 
ALS Society of Alberta, 403-228-3857, kim@alsab.ca, http://www.alsab.ca, 787410StreetNECalgaryABT2E8W1 
Alberta Health Services - HomeCare Calgary, 403-943-4702, volunteer.calgaryhomecare@ahs.ca, http://bit.ly/AHSHomeCareVolunteerOpportunities, 350026aveNECalgaryABT1Y6J4 
Alberta Health Services - Foothills Medical Centre, 403-944-1336, fmcvolunteer.resources@ahs.ca, , norequiredaddressCalgaryABT2N2T9 
Alberta River Surfing Association, 403-606-5091, juska.andrea@gmail.com, https://albertariversurfing.com/, 23244avenwCalgaryABT2N0N9 
Animal Rescue Foundation of Alberta (ARF), 403-243-1910, volunteering@arf.ab.ca, www.arf.ab.ca, P.O.Box34160RPOWestbrookCalgaryABT3C3W2 
Alex Community Health Centre, 403-513-7422, sstokes@thealex.ca, www.thealex.ca, 2840-2aveSECalgaryABT2W1K2 
Alberta Seventh Step Society, The, 403-228-7778, comworker@albertaseventhstep.com, www.albertaseventhstep.com, 182027thAvenueS.W.FederalInstitutionsinAlbertaCalgaryandAreaABT2T1H1 
Alberta Institute for Wildlife Conservation (AIWC), 403-946-2361, volunteer@aiwc.ca, www.aiwc.ca, 25244TWP282MaddenABT0M1L0 
Alberta Printmakers Society, 403-287-1056, director@albertaprintmakers.com, www.albertaprintmakers.com, 40254thstreetSECalgaryABT2G2W4 
Alberta College of Art + Design Students' Association, 403-284-7625, director.acadsa@acad.ca, www.acadsa.ca, 140714AveNWCalgaryABT2N4R3 
Alberta Community Crime Prevention Association, 403-313-2566, connect@albertacrimeprevention.com, www.albertacrimeprevention.com, 160914STSWCalgaryABT3C1E4 
