Springbank Hill Community Association, 403-461-6458, info@springbankhill.org, springbankhill.org, VariouslocationswithinourcommunityofSpringbankHillCalgaryABT3H5N1 
STEAM360 Canada Foundation, 306-914-1718, info@steam360foundation.ca, www.steam360foundation.ca, 355331StNWCalgaryABT2L2K7 
Structured Abstraction, 403-472-2611, info@structuredabstraction.com, https://www.structuredabstraction.com, 5096ASTNECalgaryABT2E4A8 
Strathcona Christie Aspen Community Association, 403-249-1138, info@scacalgary.ca, www.scacalgary.ca, 277StrathconaDrSWCalgaryABT3H2A4 
Spirit West Historical Country Music Association, 403-990-1020, steve.schledt@outlook.com, , CalgaryCalgaryABT3E4H2 
STARDALE WOMEN'S GROUP, 403-903-5328, laurensbohorquez@gmail.com, Www.stardale.org, SunLifePlaza-WestTower2600,144-4AvenueSWCalgary,Alberta,CanadaT2P3N4CalgaryABT2X0Z7 
Springboard Performance, 780-860-4598, volunteer@springboardperformance.com, springboardperformance.com, 11112AveSECalgaryABT2G0Z9 
Sonshine Community Services, 403-705-3490, weaglespeaker@sonshine.ca, www.sonshine.ca, westbrookCalgaryABT3C2W2 
Start2Finish Canada, 587-435-6056, eryn.wahl@start2finishonline.org, https://www.start2finishonline.org/, BowcroftElementary394073StNWCalgaryABT3B2L9 
SouthWest Communities Resource Centre, 403-238-9222, programs@swcrc.ca, www.swcrc.ca, 42,2580SouthlandDriveS.W.CalgaryABT2V4J8 
Spirit Winds Ranch, 403-999-7763, laurel@spiritwindsranch.ca, http://spiritwindsranch.ca/, Property#54101TWPRoad270CochraneABT4C1A7 
Spinal Cord Injury Association Alberta, 403-228-7434, marilyn.erho@sci-ab.ca, www.sci-ab.ca, #10856563StreetSWCalgaryABT2H1H7 
Spruce Cliff Community Association, 403-862-0848, joegentile.yyc@gmail.com, www.Sprucecliff.org, 3375SpruceDriveSWCalgaryABT3C3A3 
Sunrise Community Link Resource Centre Society, 403-204-8280, info@sunriselink.org, https://www.sunriselink.org/, 330317thAvenueSECalgaryABT2A0R2 
Strongest Oak Foundation, 403-803-3820, ahernmarlene@yahoo.ca, http://www.thestrongestoak.org/, 61ValleyWoodsWayNWCalgaryABT3B6A2 
STARS Air Ambulence, 403-516-2762, MCruttenden@stars.ca, https://stars.ca/volunteer, 1441AviationParkNortheastCalgaryABT2E7G1 
Stroke Recovery Association of Calgary (SRAC), 587-438-8492, calgary.aphasia.centre@gmail.com, www.calgaryaphasia.com, variousvenuesinallquadrantsofCalgaryCalgaryABT2H1X1 
Sinneave Family Foundation (The Ability Hub), 403-210-5000, info@sinneavefoundation.org, www.sinneavefoundation.org, 300,382024thAveNWCalgaryABT3B2X9 
St. John Ambulance - Calgary Community Services, 403-250-2922, alicia.hudson@sja.ca, https://stjohn.ab.ca/community-services/, 723610StreetNECalgaryABT1X1T1 
Sport Calgary, 403-984-0973, events@sportcalgary.ca, https://www.sportcalgary.ca, 2424AuniversityDriveNWCalgaryABT2N3Y9 
Special Olympics Calgary, 403-735-1022, karen@specialolympicscalgary.ca, www.specialolympicscalgary.ca, #142180PegasusWayNECALGARYABT2E8M5 
Societe des parents de lecole la mosaïque, 514-803-0954, arielnanayalejandro@gmail.com, , 199martindale.blvdneCalgaryABT3J3G4 
stockmen's memorial cochrane, 403-932-3782, library@smflibrary.ca, http://www.smflibrary.ca/, 101RancheHouseRdCochraneABT4C2K8 
Social Progressives of Alberta, 403-404-3221, canadianmla@gmail.com, , 323719AveSECalgaryABT2B0A4 
