Valour Canada, 403-685-2660, contact@valourcanada.ca, , 182024StSWCalgaryABT3M2E4 
University of Calgary Conjoint Faculties Research Ethics Board, 403-220-2297, cfreb@ucalgary.ca, , 2500UniversityDriveNWCalgaryABT2N1N4 
SupportWorks Inc., 403-305-4465, volunteers@supportworks.ca, www.supportworks.ca, 22312thAvenueSWCalgaryABT2R0G9 
Sustainable Alberta Association, 403-230-9395, kathryn.winkler@shaw.ca, https://commuterchallenge.ca, 223-12AveSWCalgaryABT2R0G9 
Synergy, 403-212-0242, involved@yoursynergy.ca, www.yoursynergy.ca, 101-340MerganserDr.WChestermereABT1X1L6 
TELUS Spark, 403-817-6839, volunteer@sparkscience.ca, http://sparkscience.ca/, 220St.GeorgesDriveNECalgaryABT2E5T2 
United Nations Association in Canada, Calgary Branch, 403-123-4567, info@unaccalgary.com, http://cal.unac.org/, DependsontheeventCalgaryABT2E1P9 
The Terry Fox Foundation- Alberta, 403-212-1336, oscar.andrade@terryfoxrun.org, https://www.terryfox.org/, TheTerryFoxFoundationUnitA16-61202ndStreetSE(2ndfloor)CalgaryABT2H2L8 
Twins, Triplets and More Association of Calgary, 403-922-0262, pastpresident@ttmac.org, www.ttmac.org, 7555FalconridgeBlvdNETheGenesisCentreCalgaryABT3G1Z3 
Tudor Manor (Brenda Strafford Foundation)- Calgary, 403-995-6811, sherry.little@thebsf.ca, , TudorManor200SandstoneDrOkotoksABT1S1R1 
TEDxYYC, 111-111-1111, volunteer@tedxyyc.com, https://tedxyyc.ca/, 600,6308AveSWCalgaryABT2P1G6 
University of Calgary Students' Union - Volunteer Services, 403-220-3092, volunteer@su.ucalgary.ca, su.ucalgary.ca/vs, 251MacEwanStudentCentre,2500UniversityDriveNWCalgaryABT2N1N4 
Town of Okotoks Volunteer Services, 403-938-8936, volunteer@okotoks.ca, https://www.okotoks.ca/discover-okotoks/get-involved/volunteer-resource-centre/volunteer-application-form, P.O.Box20StnMainOkotoksABT1S0B9 
Variety -the Children's Charity of Alberta Association, 403-466-1630, larry.horeczy@varietyalberta.ca, www.varietyalberta.ca, VariousLocationsCalgaryABT2S1W2 
Terry Fox Foundation- Calgary, 403-212-1336, dianne.dame@terryfoxrun.org, terryfox.org, A16,61202ndStreetSECalgaryABT2H2L8 
United Way of Calgary and Area, 403-231-6265, hr@calgaryunitedway.org, www.calgaryunitedway.org, #600,10512AveSECalgaryABT2G1A1 
University of Calgary (Alumni), 403-220-7546, alumnivolunteers@ucalgary.ca, http://bttr.im/b0b7j, 906-8AveSWUCalgaryDowntownCampusCalgaryABT2P1H9 
Unmasking the Reality of Lung Cancer, 403-801-5000, unmaskinglungcancercalgary@gmail.com, , 100263914AveSWCalgaryABT2R1H9 
Terminator Foundation, 587-899-6800, vanisha@terminatorfoundation.com, http://terminatorfoundation.com/, 480AuburnBayAveSECalgaryABT3M1T1 
THIRD ACTion Film Festival Limited, 403-561-2765, mitzi@thirdactionfilmfest.ca, thirdactionfilmfest.ca, 427-8AStreetNECalgaryABT2E4J2 
Ultimate Wheelchair Sports Foundation, 403-909-6576, info.parasports@gmail.com, https://www.ultimateparasports.com, 161037thStreetSWCalgaryABT3C3W2 
Symons Valley Park, 403-991-2405, president@symonsvalleypark.ca, www.symonsvalleypark.ca, POBox47107CreeksideCalgaryABT3P0A0 
This is My City Art Society, 403-519-3614, thisismycity.calgary@gmail.com, http://thisismycitycalgary.ca/, ThisisMyCityArtSociety#32,223-12AvenueSWCalgaryABT2R0G9 
Triwest Soccer, 403-616-0753, info@triwestsoccer.com, http://triwestsoccer.com/, 282828StreetSWCalgaryABT3E2J3 
