Calgary Rock and Lapidary Club, 403-228-1165, gibbinss@shaw.ca, https://crlc.ca, #13,365019StreetNECalgaryABT2E6V2 
Calgary Volunteer Fair Society, 403-819-1553, hello@volunteerfair.ca, volunteerfair.ca, POBox94039ElbowRiverPostalOutletCalgaryABT2S0S4 
Calgary Zoo, 403-232-9300, volunteer@calgaryzoo.com, www.calgaryzoo.com, 1300ZooRoadNECalgaryABT2E7V6 
Calgary Women's Emergency Shelter, 403-290-1552, volunteer@cwes.ca, https://www.calgarywomensshelter.com/, 500,1509CentreStreetSWCalgaryABT2G2E6 
Calgary Society of Independent Filmmakers, 403-205-4747, programming@csif.org, www.csif.org, 100172510AveSWCalgaryABT3C0K1 
Calgary Society of Community Opportunities, 403-253-3454, csco1@telusplanet.net, www.cscocalgary.com, 261618St.NEUnit102CALGARYABT2E7R1 
Calgary River Valleys (Calgary River Forum Society), 403-268-4632, calgaryrivervalleys2@outlook.com, www.calgaryrivervalleys.org, POBox2100,StnM,Mailcode64CalgaryABT2P2M5 
Calgary Rural Primary Care Network , 403-700-6582, communications@crpcn.ca, www.crpcn.ca, McRaeStreetOkotoksABT1S1B4 
Calgary West Central Primary Care Network, 403-984-6527, PAC@cwcpcn.com, cwcpcn.com/PAC, 5966CentreStreetSECalgaryABT2H0C1 
Calgary Seniors' Resource Society, 403-266-6200, recruiting@calgaryseniors.org, http://www.calgaryseniors.org/, 363926thStNECalgaryABT1Y5E1 
Calgary Reads ( An Early Literacy Initiative ) Society, 403-777-8254, dawnc@calgaryreads.com, calgaryreads.com, VariouslocationsCalgaryABT2G1A1 
Calgary Regional Immigrant Employment Council (CRIEC), 587-894-7582, mentor@criec.ca, https://www.criec.ca/, 880-10512thAvenueSECalgaryABT2G1A1 
Canadian Association for Disabled Skiing - Calgary, 403-286-8050, info@cadscalgary.ca, http://www.cadscalgary.ca/, 88CanadaOlympicRdSWCalgaryABT3B5R5 
Calgary Wildlife Rehabilitation Society, 403-266-2282, admin@calgarywildlife.org, http://www.calgarywildlife.org, 11555-85thStreetN.W.CalgaryABT3R1J3 
Canada Winter Games , 403-872-0659, lnaldrett@2019canadagames.ca, , CalgaryAirportCalgaryABT2E6Z8 
Calgary Safety Council, 403-287-2990, safetyc@calgarysafetycouncil.com, https://www.calgarysafetycouncil.com/, POBox37061RPOMaylandHeightsNECalgaryABT2E8V1 
Calgary Region Airshed Zone Society, 403-968-5522, tanya.carlson@craz.ca, www.craz.ca, A13,61202ndStSECalgaryABT2H2L8 
Canada's Sports Hall of Fame, 403-776-1063, skelly@cshof.ca, http://www.sportshall.ca/, 169CanadaOlympicRdSWCalgaryABT3B6B7 
Calgary Talking Toastmasters, 587-885-1119, princeton_lau@hotmail.com, http://calgarytalking.toastmastersclubs.org/, 550-6thAveS.W.CalgaryABT2P0S2 
Calgary Ski Club, 403-282-4122, office@calgaryskiclub.org, www.calgaryskiclub.org, 227ArbourRidgeWayNWCalgaryABT3G3Z3 
Canadian Association for Participatory Development (CAPD), 403-202-0673, wiens.me@gmail.com, www.capdcalgary.org, 44ScanlonPlaceNWCalgaryABT3L1V8 
Canadian Animal Task Force, 403-830-9644, volunteers@cataskforce.org, abtaskforce.org, BayF,3851-21StreetN.E.CalgaryABT2E6T5 
Calgary Youth Justice Society, 403-808-6325, tclem@cyjs.ca, https://calgaryyouthjustice.ca/, Suite900,6207AveSWcalgaryABT2P0Y8 
Calgary World Health Organization Simulation, 403-671-6634, info@calwho.org, , 3330HospitalDriveNWCalgaryABT2N4N1 
